"Geslacht";"Leeftijd";"Perioden";"Werkloosheidspercentage/Seizoengecorrigeerd (%)"
"Totaal";"15 tot 75 jaar";"2003 1e kwartaal";"     5.4"
"Totaal";"15 tot 75 jaar";"2003 2e kwartaal";"     5.8"
"Totaal";"15 tot 75 jaar";"2003 3e kwartaal";"     6.1"
"Totaal";"15 tot 75 jaar";"2003 4e kwartaal";"     6.4"
"Totaal";"15 tot 75 jaar";"2004 1e kwartaal";"     6.6"
"Totaal";"15 tot 75 jaar";"2004 2e kwartaal";"     6.9"
"Totaal";"15 tot 75 jaar";"2004 3e kwartaal";"     6.7"
"Totaal";"15 tot 75 jaar";"2004 4e kwartaal";"     6.9"
"Totaal";"15 tot 75 jaar";"2005 1e kwartaal";"     7.1"
"Totaal";"15 tot 75 jaar";"2005 2e kwartaal";"     7.1"
"Totaal";"15 tot 75 jaar";"2005 3e kwartaal";"     6.9"
"Totaal";"15 tot 75 jaar";"2005 4e kwartaal";"     6.8"
"Totaal";"15 tot 75 jaar";"2006 1e kwartaal";"     6.5"
"Totaal";"15 tot 75 jaar";"2006 2e kwartaal";"     6.1"
"Totaal";"15 tot 75 jaar";"2006 3e kwartaal";"     5.9"
"Totaal";"15 tot 75 jaar";"2006 4e kwartaal";"     5.8"
"Totaal";"15 tot 75 jaar";"2007 1e kwartaal";"     5.6"
"Totaal";"15 tot 75 jaar";"2007 2e kwartaal";"     5.3"
"Totaal";"15 tot 75 jaar";"2007 3e kwartaal";"     5.2"
"Totaal";"15 tot 75 jaar";"2007 4e kwartaal";"     5.1"
"Totaal";"15 tot 75 jaar";"2008 1e kwartaal";"     4.8"
"Totaal";"15 tot 75 jaar";"2008 2e kwartaal";"     4.8"
"Totaal";"15 tot 75 jaar";"2008 3e kwartaal";"     4.7"
"Totaal";"15 tot 75 jaar";"2008 4e kwartaal";"     4.7"
"Totaal";"15 tot 75 jaar";"2009 1e kwartaal";"     4.9"
"Totaal";"15 tot 75 jaar";"2009 2e kwartaal";"     5.2"
"Totaal";"15 tot 75 jaar";"2009 3e kwartaal";"     5.6"
"Totaal";"15 tot 75 jaar";"2009 4e kwartaal";"     5.9"
"Totaal";"15 tot 75 jaar";"2010 1e kwartaal";"     6.2"
"Totaal";"15 tot 75 jaar";"2010 2e kwartaal";"     6.1"
"Totaal";"15 tot 75 jaar";"2010 3e kwartaal";"     6.1"
"Totaal";"15 tot 75 jaar";"2010 4e kwartaal";"     5.9"
"Totaal";"15 tot 75 jaar";"2011 1e kwartaal";"     5.8"
"Totaal";"15 tot 75 jaar";"2011 2e kwartaal";"     5.8"
"Totaal";"15 tot 75 jaar";"2011 3e kwartaal";"     6.1"
"Totaal";"15 tot 75 jaar";"2011 4e kwartaal";"     6.5"
"Totaal";"15 tot 75 jaar";"2012 1e kwartaal";"     6.5"
"Totaal";"15 tot 75 jaar";"2012 2e kwartaal";"     6.7"
"Totaal";"15 tot 75 jaar";"2012 3e kwartaal";"     6.9"
"Totaal";"15 tot 75 jaar";"2012 4e kwartaal";"     7.2"
"Totaal";"15 tot 75 jaar";"2013 1e kwartaal";"     7.7"
"Totaal";"15 tot 75 jaar";"2013 2e kwartaal";"     8.2"
"Totaal";"15 tot 75 jaar";"2013 3e kwartaal";"     8.5"
"Totaal";"15 tot 75 jaar";"2013 4e kwartaal";"     8.5"
"Totaal";"15 tot 75 jaar";"2014 1e kwartaal";"     8.7"
"Totaal";"15 tot 75 jaar";"2014 2e kwartaal";"     8.5"
"Totaal";"15 tot 75 jaar";"2014 3e kwartaal";"     8.1"
"Totaal";"15 tot 75 jaar";"2014 4e kwartaal";"     8.1"
"Totaal";"15 tot 75 jaar";"2015 1e kwartaal";"     8.2"
"Totaal";"15 tot 75 jaar";"2015 2e kwartaal";"     8.0"
"Totaal";"15 tot 75 jaar";"2015 3e kwartaal";"     7.7"
"Totaal";"15 tot 75 jaar";"2015 4e kwartaal";"     7.7"
"Totaal";"15 tot 75 jaar";"2016 1e kwartaal";"     7.4"
"Totaal";"15 tot 75 jaar";"2016 2e kwartaal";"     7.2"
"Totaal";"15 tot 75 jaar";"2016 3e kwartaal";"     6.8"
"Totaal";"15 tot 75 jaar";"2016 4e kwartaal";"     6.5"
"Totaal";"15 tot 75 jaar";"2017 1e kwartaal";"     6.3"
"Totaal";"15 tot 75 jaar";"2017 2e kwartaal";"     6.0"
"Totaal";"15 tot 75 jaar";"2017 3e kwartaal";"     5.8"
"Totaal";"15 tot 75 jaar";"2017 4e kwartaal";"     5.4"
"Totaal";"15 tot 75 jaar";"2018 1e kwartaal";"     5.1"
"Totaal";"15 tot 75 jaar";"2018 2e kwartaal";"     4.9"
"Totaal";"15 tot 75 jaar";"2018 3e kwartaal";"     4.9"
"Totaal";"15 tot 75 jaar";"2018 4e kwartaal";"     4.6"
"Totaal";"15 tot 75 jaar";"2019 1e kwartaal";"     4.5"
"Totaal";"15 tot 75 jaar";"2019 2e kwartaal";"     4.4"
"Totaal";"15 tot 75 jaar";"2019 3e kwartaal";"     4.5"
"Totaal";"15 tot 75 jaar";"2019 4e kwartaal";"     4.4"
"Totaal";"15 tot 75 jaar";"2020 1e kwartaal";"     4.0"
"Totaal";"15 tot 75 jaar";"2020 2e kwartaal";"     4.8"
"Totaal";"15 tot 75 jaar";"2020 3e kwartaal";"     5.5"
"Totaal";"15 tot 75 jaar";"2020 4e kwartaal";"     5.1"
"Totaal";"15 tot 75 jaar";"2021 1e kwartaal";"     4.6"
"Totaal";"15 tot 75 jaar";"2021 2e kwartaal";"     4.3"
"Totaal";"15 tot 75 jaar";"2021 3e kwartaal";"     4.1"
"Totaal";"15 tot 75 jaar";"2021 4e kwartaal";"     3.8"
